prompt_index,prompt_id,group,category,evidence_split,assignment_required,prompt,expected_concepts,base_generated_text,cpt_generated_text,base_concept_coverage,cpt_concept_coverage,concept_coverage_change,automatic_verdict,automatic_reason,human_review_status,human_paired_verdict,human_notes
32,cisco-routing-02,domain,routing_ospf_bgp,train,False,"In the shown OSPF NSSA Type-7 LSA example, what forwarding address and metric are advertised?","[""192.168.1.1"", ""metric 20""]","

A.    10.0.0.0/24, 1
B.    10.0.0.0/24, 2
C.    10.0.0.0/24, 3
D.    10.0.0.0/24, 4
E.    10.0.0.0/24, 5

Answer: B

Which two statements about the OSPF process are true? (Choose two","

A.    10.0.0.1/32, 1
B.    10.0.0.1/32, 2
C.    10.0.0.1/32, 3
D.    10.0.0.1/32, 4
E.    10.0.0.1/32, 5

Answer: B

Which two statements about the OSPFv3 LSA type 1",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/2 to 0/2.,pending_blinded_review,,
33,cisco-routing-03,domain,routing_ospf_bgp,train,False,How are route-target export and import values used to leak routes from VRF RED into VRF BLUE?,"[""RED exports 1:1"", ""BLUE imports 1:1""]","

A.    The route-target export value is used to export routes from VRF RED into VRF BLUE.
B.    The route-target export value is used to export routes from VRF BLUE into VRF RED.
C.    The route-target export value is used to export routes from VRF RED into VRF RED.
D.    The route-target export value is used to export routes from VRF BLUE into VRF BLUE.

Answer: A

Which two statements about the Cisco IOS XR software are","

A.    The route-target export value is used to export routes from VRF RED into VRF BLUE.
B.    The route-target export value is used to export routes from VRF BLUE into VRF RED.
C.    The route-target export value is used to export routes from VRF RED into VRF RED.
D.    The route-target export value is used to export routes from VRF BLUE into VRF BLUE.

Answer: A

Which two statements about the Cisco IOS XE feature are",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/2 to 0/2.,pending_blinded_review,,
34,cisco-routing-04,domain,routing_ospf_bgp,eval,False,What is the purpose of an ICMP Redirect message in IP forwarding?,"[""shorter path"", ""host sends traffic directly to the next gateway""]","

A.    To redirect the packet to the next hop
B.    To redirect the packet to the next hop if the packet is not destined for the local host
C.    To redirect the packet to the next hop if the packet is destined for the local host
D.    To redirect the packet to the next hop if the packet is not destined for the local host

Answer: C

Which of the following is a valid IPv6 address?

A.    2001:0db8:0000:00","

A.    To redirect the packet to the next hop
B.    To redirect the packet to the next hop if the packet is not destined for the local host
C.    To redirect the packet to the next hop if the packet is destined for the local host
D.    To redirect the packet to the next hop if the packet is not destined for the local host

Answer: C

Which of the following is a valid IPv6 address?

A.    2001:0db8:0000:00",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/2 to 0/2.,pending_blinded_review,,
35,cisco-routing-05,domain,routing_ospf_bgp,eval,False,"Which NX-OS interface command disables ICMP Redirects, and how can its status be verified?","[""no ip redirects"", ""show ip interface"", ""redirects disabled""]","

A.    ip unnumbered
B.    no ip redirects
C.    no ip redirects
D.    no ip redirects
E.    no ip redirects

Answer: B

Which two statements about the Cisco IOS command ip unnumbered are true? (Choose two.)

A.    It enables the router to use the interface’s IP address as the local IP address.
B.    It enables the router to use the interface’s IP address as the remote IP address.
C.","

A.    ip redirects no
B.    ip redirects no
C.    ip redirects no
D.    ip redirects no

Answer: A

Which two statements about the Cisco Nexus 9000 Series Switches are true? (Choose two.)

A.    The Nexus 9000 Series Switches support the Cisco NX-OS software.
B.    The Nexus 9000 Series Switches support the Cisco NX-OS software.
",0.3333333333333333,0.0,-0.3333333333333333,Degraded,Expected-concept coverage changed from 1/3 to 0/3.,pending_blinded_review,,
36,cisco-datacenter-01,domain,datacenter_vpc_vxlan_nexus,train,True,What are the packet-processing roles of ingress and egress VTEPs in a VXLAN network?,"[""ingress VTEP encapsulates"", ""egress VTEP decapsulates""]","

A.    The ingress VTEP is responsible for receiving the VXLAN packets and encapsulating them into the VXLAN header.
B.    The egress VTEP is responsible for receiving the VXLAN packets and encapsulating them into the VXLAN header.
C.    The ingress VTEP is responsible for receiving the VXLAN packets and encapsulating them into the VXLAN header.
D.    The egress VTEP is responsible for receiving the VXLAN packets and encapsulating them into the VXLAN header.

Answer","

A.    The ingress VTEP is responsible for packet processing and the egress VTEP is responsible for packet processing.

B.    The ingress VTEP is responsible for packet processing and the egress VTEP is responsible for packet forwarding.

C.    The ingress VTEP is responsible for packet forwarding and the egress VTEP is responsible for packet processing.

D.    The ingress VTEP is responsible for packet forwarding and the egress VTEP is responsible for packet processing and forwarding.

Answer: A

Question No:",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/2 to 0/2.,pending_blinded_review,,
37,cisco-datacenter-02,domain,datacenter_vpc_vxlan_nexus,train,False,What should be checked in the Cisco Nexus ISSU Support Matrix before upgrading a vPC pair?,"[""current release"", ""target release"", ""supported upgrade path""]","

A.    The vPC pair must be in the same VLAN.
B.    The vPC pair must be in the same VLAN.
C.    The vPC pair must be in the same VLAN.
D.    The vPC pair must be in the same VLAN.
E.    The vPC pair must be in the same VLAN.

Answer: D

Which two statements about the Cisco Nexus 1000V are true? (Choose two.)

A.    It","

A.    The vPC pair must be in the same VLAN.
B.    The vPC pair must be in the same VLAN.
C.    The vPC pair must be in the same VLAN.
D.    The vPC pair must be in the same VLAN.
E.    The vPC pair must be in the same VLAN.

Answer: A

Which two statements about the Cisco Nexus 9000 Series Fabric Interconnect are true? (Choose two.)

A. ",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/3 to 0/3.,pending_blinded_review,,
38,cisco-datacenter-03,domain,datacenter_vpc_vxlan_nexus,eval,False,"What is the recommended basic test for VXLAN connectivity between two VTEPs, and what alternative uses loopback interfaces?","[""ping between end hosts"", ""loopback interfaces on VTEPs""]","

A.    The recommended basic test is to ping the loopback interface of the VTEP.
B.    The recommended basic test is to ping the VXLAN tunnel endpoint (VTEP) of the VTEP.
C.    The recommended basic test is to ping the VXLAN tunnel endpoint (VTEP) of the VTEP.
D.    The recommended basic test is to ping the loopback interface of the VTEP.

Answer: D

Which two statements about the VXLAN tunnel endpoint (VTEP) are true? (Choose two","

A.    The recommended basic test is to ping the loopback interface of the VTEP.
B.    The recommended basic test is to ping the VXLAN interface of the VTEP.
C.    The recommended basic test is to ping the VXLAN interface of the VTEP.
D.    The recommended basic test is to ping the loopback interface of the VTEP.

Answer: D

Which two statements about the VXLAN tunnel interface are true? (Choose two.)

A.    The VXLAN tunnel interface",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/2 to 0/2.,pending_blinded_review,,
39,cisco-datacenter-04,domain,datacenter_vpc_vxlan_nexus,eval,False,How does the Cisco N9500 chassis preserve switching service when a fabric module fails?,"[""up to six fabric modules"", ""redundancy"", ""graceful degradation""]","

A.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.
B.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.
C.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.
D.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.

Answer: B

Which two statements about the Cisco N9500 chassis are true? (Choose two.)

A. ","

A.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.
B.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.
C.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.
D.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.

Answer: A

Which two statements about the Cisco N9500 chassis are true? (Choose two.)

A. ",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/3 to 0/3.,pending_blinded_review,,
40,cisco-datacenter-05,domain,datacenter_vpc_vxlan_nexus,eval,False,Give examples of breakout modes supported on Cisco Nexus switch ports.,"[""4x10G"", ""4x25G"", ""2x50G""]","

Answer: A,D

Question No: 10

Which two statements about the Cisco Nexus 1000V are true? (Choose two.)

  1. It is a virtual switch that runs on a virtual machine.

  2. It is a virtual switch that runs on a physical server.

  3. It is a virtual switch that runs on a virtual machine.

  4. It is a virtual switch that runs on a physical server.

Answer: A,D

Question No: 11

Which two statements about the Cisco Nexus 10","

Answer: A, D

Question No: 10

Which two statements about the Cisco Nexus 9000 Series Switches are true? (Choose two.)

  1. The Cisco Nexus 9000 Series Switches support the Cisco Nexus 9000 Series Fabric Extender.

  2. The Cisco Nexus 9000 Series Switches support the Cisco Nexus 9000 Series Fabric Extender.

  3. The Cisco Nexus 9000 Series Switches support the Cisco Nexus ",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/3 to 0/3.,pending_blinded_review,,
41,cisco-security-01,domain,security_aaa_ise,train,False,"In Cisco ISE, where should an administrator find and change an authorization rule that uses an unlicensed feature?","[""Policy"", ""Policy Sets"", ""authorization rule""]","

A.    In the ISE console
B.    In the ISE policy
C.    In the ISE policy template
D.    In the ISE policy database

Answer: D

Which two statements about the Cisco ISE policy database are true? (Choose two.)

A.    The policy database is stored in the ISE console.
B.    The policy database is stored in the ISE policy.
C.    The policy database is stored in the ISE policy template.
D. ","

A.    In the ISE console
B.    In the ISE policy
C.    In the ISE policy template
D.    In the ISE policy database

Answer: D

Which two statements about the Cisco ISE policy database are true? (Choose two.)

A.    The policy database is stored in the ISE console.
B.    The policy database is stored in the ISE policy.
C.    The policy database is stored in the ISE policy template.
D. ",0.3333333333333333,0.3333333333333333,0.0,Retained,Expected-concept coverage changed from 1/3 to 1/3.,pending_blinded_review,,
42,cisco-security-02,domain,security_aaa_ise,train,False,How does IP Source Guard use DHCP snooping information to block source-address spoofing?,"[""binding table"", ""source IP lookup"", ""untrusted interface"", ""blocks unmatched traffic""]","

IP Source Guard uses DHCP snooping information to block source-address spoofing. DHCP snooping information is used to block source-address spoofing by:

  • Preventing a source-address spoofer from sending packets with a source-address that is not in the DHCP snooping table.
  • Preventing a source-address spoofer from sending packets with a source-address that is in the DHCP snooping table but is not in the DHCP snooping table for the DHCP snooping domain.

What is the difference between DHCP snooping and DHCP snooping domain","

IP Source Guard uses DHCP snooping information to block source-address spoofing.

What is the difference between DHCP snooping and DHCP relay?

DHCP snooping is a feature that is used to protect the DHCP server from spoofing attacks. DHCP relay is a feature that is used to forward DHCP requests from one network to another.

What is the difference between DHCP snooping and DHCP relay?

DHCP snooping is a feature that is used to protect the DHCP server from spoofing attacks. DHCP relay is a feature that is used to forward DHCP requests",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/4 to 0/4.,pending_blinded_review,,
43,cisco-security-03,domain,security_aaa_ise,train,False,Which settings can be changed from the Cisco FDM identity policy page?,"[""identity policy"", ""default action"", ""rules"", ""order""]","

A.    The number of users that can be added to the policy
B.    The number of users that can be removed from the policy
C.    The number of users that can be added to the policy
D.    The number of users that can be removed from the policy

Answer: C

Which two statements about the Cisco FDM identity policy are true? (Choose two.)

A.    The Cisco FDM identity policy can be used to create a group of users that can be added to a Cisco FDM group.
B","

A.    The number of users that can be added to the policy
B.    The number of users that can be removed from the policy
C.    The number of users that can be added to the policy
D.    The number of users that can be removed from the policy

Answer: C

Which two statements about the Cisco FDM identity policy are true? (Choose two.)

A.    The Cisco FDM identity policy is a Cisco FDM policy that is used to manage the Cisco FDM identity.
B.  ",0.25,0.25,0.0,Retained,Expected-concept coverage changed from 1/4 to 1/4.,pending_blinded_review,,
44,cisco-security-04,domain,security_aaa_ise,train,False,What happens when both Trusted Network Policy and Untrusted Network Policy are set to Do Nothing for Cisco Secure Client?,"[""disables Always-On VPN"", ""disables Trusted Network Detection""]","

The Cisco Secure Client will not be able to connect to the Internet.

What happens when both Trusted Network Policy and Untrusted Network Policy are set to Allow for Cisco Secure Client?

The Cisco Secure Client will be able to connect to the Internet.

What happens when both Trusted Network Policy and Untrusted Network Policy are set to Deny for Cisco Secure Client?

The Cisco Secure Client will not be able to connect to the Internet.

What happens when both Trusted Network Policy and Untrusted Network Policy are set to Deny for Cisco Secure Client?

The Cisco Secure Client will","

When both Trusted Network Policy and Untrusted Network Policy are set to Do Nothing, the client is allowed to connect to the untrusted network.

What happens when both Trusted Network Policy and Untrusted Network Policy are set to Block for Cisco Secure Client?

When both Trusted Network Policy and Untrusted Network Policy are set to Block, the client is not allowed to connect to the untrusted network.

What happens when both Trusted Network Policy and Untrusted Network Policy are set to Prohibit for Cisco Secure Client?

When both Trusted Network Policy and Untrusted Network Policy are set to",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/2 to 0/2.,pending_blinded_review,,
45,cisco-security-05,domain,security_aaa_ise,train,False,"In NX-OS SSH configuration, what do the kexalgos and macs options control?","[""key exchange"", ""per-connection keys"", ""message authentication codes"", ""detect modification""]","

The kexalgos option controls the algorithm used for key exchange. The macs option controls the algorithm used for message authentication.

What is the difference between the ip access-group command and the ip access-list command?

The ip access-group command is used to specify a group of interfaces that are to be included in a security policy. The ip access-list command is used to specify a list of IP addresses that are to be included in a security policy.

What is the difference between the ip access-group command and the ip access-list command?

The ip access-group","

A.    The key exchange algorithm and the MAC algorithm
B.    The key exchange algorithm and the MAC algorithm
C.    The key exchange algorithm and the MAC algorithm
D.    The key exchange algorithm and the MAC algorithm

Answer: A

Which two statements about the Cisco Nexus 9000 Series Switches are true? (Choose two.)

A.    The Nexus 9000 Series Switches support the Cisco NX-OS software.
B.    The Nexus 9",0.25,0.25,0.0,Retained,Expected-concept coverage changed from 1/4 to 1/4.,pending_blinded_review,,
46,cisco-operations-01,domain,wireless_sdwan_operations,train,False,"What device property is one component of every Cisco SD-WAN TLOC, and why is it independent of interface addresses?","[""system IP address"", ""router ID"", ""independent of interfaces""]","

A.    The device property is the device’s IP address.
B.    The device property is the device’s MAC address.
C.    The device property is the device’s VLAN ID.
D.    The device property is the device’s VLAN ID and interface address.

Answer: D

Which two statements about the Cisco SD-WAN TLOC are true? (Choose two.)

A.    The TLOC is a software-based solution that is deployed on the Cisco SD-WAN appliance.","

A.    The device property is the device’s IP address.
B.    The device property is the device’s MAC address.
C.    The device property is the device’s VLAN ID.
D.    The device property is the device’s VLAN ID and interface address.

Answer: D

Which two statements about the Cisco SD-WAN TLOC are true? (Choose two.)

A.    The TLOC is a software-based solution that is deployed on the Cisco SD-WAN appliance.",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/3 to 0/3.,pending_blinded_review,,
47,cisco-operations-02,domain,wireless_sdwan_operations,train,False,Which Cisco SD-WAN component orchestrates admission of a new device into the overlay network?,"[""Cisco SD-WAN Validator"", ""orchestrates overlay admission""]","

A.    Cisco SD-WAN
B.    Cisco WAN optimization
C.    Cisco WAN optimization controller
D.    Cisco WAN optimization client

Answer: C

Which two statements about the Cisco WAN optimization controller are true? (Choose two.)

A.    It is a software-based solution that can be deployed on any hardware platform.
B.    It is a hardware-based solution that can be deployed on any hardware platform.
C.    It is a software-based solution that can","

A.    Cisco SD-WAN
B.    Cisco SD-WAN Policy Manager
C.    Cisco SD-WAN Policy Engine
D.    Cisco SD-WAN Policy Manager

Answer: A

Which two statements about the Cisco SD-WAN Policy Manager are true? (Choose two.)

A.    It is a Cisco SD-WAN component that is used to manage the Cisco SD-WAN Policy Engine.
B.    It is a Cisco SD-WAN component that is used to manage the",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/2 to 0/2.,pending_blinded_review,,
48,cisco-operations-03,domain,wireless_sdwan_operations,eval,False,How is a device health score determined in Cisco Catalyst Assurance?,"[""minimum of all KPI health scores"", ""five-minute window""]","

A device health score is determined by the following:

  • Device health score = (number of errors) / (number of errors + number of warnings)

What is a device health score of 100%?

A device health score of 100% means that there are no errors or warnings.

What is a device health score of 0%?

A device health score of 0% means that there are errors or warnings.

What is a device health score of 50%?

A device health score of 50% means that there","

A device health score is determined by the following:

  • Device health score = (number of devices with a health score of 100) / (total number of devices)

What is the difference between a device health score and a device health status?

A device health score is a number between 0 and 100 that represents the health of a device. A device health status is a text message that describes the health of a device.

What is the difference between a device health score and a device health status?

A device health score is a number between 0 and ",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/2 to 0/2.,pending_blinded_review,,
49,cisco-operations-04,domain,wireless_sdwan_operations,eval,False,What is the purpose of the command list in Cisco's TAC output quick reference for Nexus switches?,"[""collect diagnostics"", ""TAC case"", ""paste into switch CLI"", ""commands may fail for unavailable features""]","

A.    To show the commands that are used to configure the switch
B.    To show the commands that are used to configure the switch
C.    To show the commands that are used to configure the switch
D.    To show the commands that are used to configure the switch

Answer: B

Which two statements about the Cisco IOS XE feature set are true? (Choose two.)

A.    It is a software-only feature.
B.    It is a software-only feature.
C. ","

A.    To show the commands that are used to configure the switch
B.    To show the commands that are used to configure the switch
C.    To show the commands that are used to configure the switch
D.    To show the commands that are used to configure the switch
E.    To show the commands that are used to configure the switch

Answer: A

Which two statements about the Cisco Nexus 9000 Series Switches are true? (Choose two.)

A.    The Cisco Nex",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/4 to 0/4.,pending_blinded_review,,
50,cisco-operations-05,domain,wireless_sdwan_operations,eval,False,What warranty duration and replacement turnaround are stated for the Cisco N9500 platform?,"[""one year"", ""10-day turnaround"", ""RMA""]","

The Cisco N9500 platform is covered by a 90-day warranty.

What is the warranty duration and replacement turnaround for the Cisco N9500 platform?

The Cisco N9500 platform is covered by a 90-day warranty.

What is the warranty duration and replacement turnaround for the Cisco N9500 platform?

The Cisco N9500 platform is covered by a 90-day warranty.

What is the warranty duration and replacement turnaround for the Cisco N9500 platform?

The Cisco N","

The Cisco N9500 platform is covered by a 90-day warranty.

What is the Cisco N9500 platform's warranty duration?

The Cisco N9500 platform is covered by a 90-day warranty.

What is the Cisco N9500 platform's warranty duration?

The Cisco N9500 platform is covered by a 90-day warranty.

What is the Cisco N9500 platform's warranty duration?

The Cisco N9500 platform is covered by a 90",0.0,0.0,0.0,Retained,Expected-concept coverage changed from 0/3 to 0/3.,pending_blinded_review,,
