review_id,prompt_id,group,category,evidence_split,prompt,expected_concepts,rubric,source_path,source_page,source_excerpt,output_a,output_b,output_a_factual_correctness_1_to_5,output_a_relevance_1_to_5,output_a_completeness_1_to_5,output_a_coherence_1_to_5,output_b_factual_correctness_1_to_5,output_b_relevance_1_to_5,output_b_completeness_1_to_5,output_b_coherence_1_to_5,preferred_output_a_b_or_tie,reviewer_notes
review-028,cisco-switching-03,domain,switching_vlan_stp,train,"How does vPC role priority influence the primary-device election, and which numeric value is preferred?","[""lower value"", ""better chance to become primary"", ""default 32667""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-dc-pdfs/22_vpc_election_process.pdf,2,"set of actions to be taken by vPC primary and vPC secondary in response to vPC peer-link down situation. vPC Role Priority You can also use role priority in vPC domain mode command to influence vPC Election process. The range of values is from 1 to 65636, and the default value is 32667. A lower value means that this switch has a better chance to be the primary vPC. When you change the priority of the vPC peer devices, it can cause the interfaces in your network to go up and down. If you want to configure the role priority again to make one vPC device the primary device, configure the role priority on both the primary vPC device with a lower priority value and the secondary vPC device with the higher value. Then, shut down the vPC peer link on both devices and ente","\n\nA.    The primary-device is the device with the highest priority.\nB.    The primary-device is the device with the lowest priority.\nC.    The primary-device is the device with the highest priority, unless the device is a vPC peer.\nD.    The primary-device is the device with the lowest priority, unless the device is a vPC peer.\n\nAnswer: C\n\nWhich two statements about the vPC peer-to-peer feature are true? (Choose two.)\n\nA.    It is a",\n\nA.    The primary-device election is based on the role priority of the vPC role.\nB.    The primary-device election is based on the role priority of the vPC role.\nC.    The primary-device election is based on the role priority of the vPC role.\nD.    The primary-device election is based on the role priority of the vPC role.\n\nAnswer: B\n\nWhich two statements about the vPC role are true? (Choose two.)\n\nA.    The vPC role is a,,,,,,,,,,
review-029,cisco-switching-04,domain,switching_vlan_stp,eval,"On Cisco Nexus NX-OS, what does switchport mode trunk do and which VLANs can a trunk carry by default?","[""Layer 2 trunk"", ""multiple VLANs"", ""all VLANs by default""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-dc-pdfs/cisco-nexus-9000-series-nx-os-interfaces-configuration-guide-release-106x.pdf,129,"umber} Example: switch(config)# interface ethernet 3/1 switch(config-if)# Specifies an interface to configure, and enters interface configuration mode. Step 3 switchport mode [access | trunk] Example: switch(config-if)# switchport mode trunk Sets the interface as a Layer 2 trunk port. A trunk port can carry traffic in one or more VLANs on the same physical link (VLANs are based on the trunk-allowed VLANs list). By default, a trunk interface can carry traffic for all VLANs. To specify that only certain VLANs are allowed on the specified trunk, use the switchport trunk allowed vlan command. Step 4 exit Example: switch(config-if)# exit switch(config)# Exits the interface mode. Step 5 show interface Cisco Nexus 9000 Series NX-OS Interfaces Configuration G",\n\nA.    It enables the port to carry VLANs 1-4094.\nB.    It enables the port to carry VLANs 1-1000.\nC.    It enables the port to carry VLANs 1-1001.\nD.    It enables the port to carry VLANs 1-1002.\n\nAnswer: A\n\nWhich two statements about the Cisco Nexus 7000 Series Switches are true? (Choose two.)\n\nA.,\n\nA.    It allows the switch to carry VLANs 1-4094.\nB.    It allows the switch to carry VLANs 1-1000.\nC.    It allows the switch to carry VLANs 1-1001.\nD.    It allows the switch to carry VLANs 1-1002.\n\nAnswer: A\n\nWhich two statements about the Cisco Nexus 9000 Series NX-OS software are true? (Choose two.)\n,,,,,,,,,,
review-030,cisco-switching-05,domain,switching_vlan_stp,eval,What are the default Layer 2 and Layer 3 port-channel load-balancing methods described for Cisco Nexus NX-OS?,"[""src-dst-mac"", ""src-dst ip-l4port""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-dc-pdfs/cisco-nexus-9000-series-nx-os-interfaces-configuration-guide-release-106x.pdf,228," default load-balancing mode for non-IP traffic is the source and destination MAC address. Use the port-channel load-balance command to set the load-balancing method among the interfaces in the channel-group bundle. The default method for Layer 2 packets is src-dst-mac. The default method for Layer 3 packets is src-dst ip-l4port. You can configure the device to use one of the following methods to load balance across the port channel: • Destination MAC address • Source MAC address • Source and destination MAC address • Destination IP address • Source IP address • Source and destination IP address • Source TCP/UDP port number • Destination TCP/UDP port number • Source and destination TCP/UDP port number • GRE inner IP headers with source, destination and source-dest",\n\nA.    Layer 2\nB.    Layer 3\nC.    Layer 2 and Layer 3\nD.    None\n\nAnswer: C\n\nWhich two statements about the Cisco Nexus 1000V are true? (Choose two.)\n\nA.    It is a virtual switch that runs on a physical switch.\nB.    It is a virtual switch that runs on a virtual switch.\nC.    It is a virtual switch that runs on a virtual switch.\nD.  ,\n\nA.    Layer 2\nB.    Layer 3\nC.    Layer 2 and Layer 3\nD.    None\n\nAnswer: C\n\nWhich two statements about the Cisco Nexus 9000 Series NX-OS software are true? (Choose two.)\n\nA.    It is a software-only solution.\nB.    It is a software-only solution.\nC.    It is a software-only solution.\nD.    It is a software-only,,,,,,,,,,
review-031,cisco-routing-01,domain,routing_ospf_bgp,train,"What type of routing protocol is OSPF, and what information does each OSPF router advertise?","[""link-state"", ""active links"", ""link type"", ""metric"", ""neighbor router""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-dc-pdfs/04_nexus9000_nxos_unicast_routing_10.5x.pdf,51,". IP Services IP Services include Dynamic Host Configuration Protocol (DHCP) and Domain Name System (DNS Client) clients. For more information, see Configuring DNS. OSPF The Open Shortest Path First (OSPF) protocol is a link-state routing protocol used to exchange network reachability information within an autonomous system. Each OSPF router advertises information about its active links to its neighbor routers. Link information consists of the link type, the link metric, and the neighbor router that is connected to the link. The advertisements that contain this link information are called link-state advertisements. For more information, see OSPFv2, on page 103. EIGRP The Enhanced Interior Gateway Routing Protocol (EIGRP) is a unicast routing protocol that h",\nOSPF is a link-state routing protocol. Each OSPF router advertises the following information:\n- Link-state advertisements (LSAs)\n- Link-state database (LSDB)\n- Link-state database (LSDB) summarization\n- Link-state database (LSDB) summarization\n- Link-state database (LSDB) summarization\n- Link-state database (LSDB) summarization\n- Link-state database (LSDB) summarization\n- Link-state database (LSDB) summarization\n- Link-state database (,\nOSPF is a link-state routing protocol. Each OSPF router advertises the following information:\n- Link-state advertisements (LSAs)\n- Link-state database\n- Link-state database summarization\n- Link-state database summarization\n- Link-state database summarization\n- Link-state database summarization\n- Link-state database summarization\n- Link-state database summarization\n- Link-state database summarization\n- Link-state database summarization\n- Link-state database summarization\n- Link-state database summarization\n- Link-state database summarization\n-,,,,,,,,,,
review-032,cisco-routing-02,domain,routing_ospf_bgp,train,"In the shown OSPF NSSA Type-7 LSA example, what forwarding address and metric are advertised?","[""192.168.1.1"", ""metric 20""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-dc-pdfs/20_ospf_nssa_type7_lsa_forwarding.pdf,2,".1.140 (External Network Number ) Advertising Router: 100.1.1.1 LS Seq Number:80000012 Checksum: 0x504c Length: 36 Network Mask:255.255.255.255 Metric Type: 1 (Comparable directly to link state metric) TOS: 0 Metric: 20 Forward Address: 192.168.1.1 --- Vlan101 External Route Tag: 0 N7K# show ip ospf data extroute172.16.1.150 det vrf B OSPF Router with ID () (Process ID 10 VRF B) Type-5 AS External Link States LS age: 323 Options: 0x20 (No TOS-capability, DC) LS Type: Type-5 AS-External Link State ID:route172.16.1.150 (Network address) Advertising Router:100.1.1.2 LS Seq Number: 0x8000008f Checksum: 0x9691 Length: 36 Network Mask: /32 Metric Type: 1 (Same units as link state path) TOS: 0 Metric: 20 Forward Address: 10.1.1.1 --- Vlan 102 External Route Tag: 0","\n\nA.    10.0.0.1/32, 1\nB.    10.0.0.1/32, 2\nC.    10.0.0.1/32, 3\nD.    10.0.0.1/32, 4\nE.    10.0.0.1/32, 5\n\nAnswer: B\n\nWhich two statements about the OSPFv3 LSA type 1","\n\nA.    10.0.0.0/24, 1\nB.    10.0.0.0/24, 2\nC.    10.0.0.0/24, 3\nD.    10.0.0.0/24, 4\nE.    10.0.0.0/24, 5\n\nAnswer: B\n\nWhich two statements about the OSPF process are true? (Choose two",,,,,,,,,,
review-033,cisco-routing-03,domain,routing_ospf_bgp,train,How are route-target export and import values used to leak routes from VRF RED into VRF BLUE?,"[""RED exports 1:1"", ""BLUE imports 1:1""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-dc-pdfs/213908-configure-vrf-route-leak-on-nexus.pdf,8, use of Route-Targets is required. The origin VRF exports a Route-Target value. The destination VRF imports the same Route-Target value. Create Export and Import Route-Targets vrf context RED address-family ipv4 unicast route-target export 1:1 ! vrf context BLUE address-family ipv4 unicast route-target import 1:1,\n\nA.    The route-target export value is used to export routes from VRF RED into VRF BLUE.\nB.    The route-target export value is used to export routes from VRF BLUE into VRF RED.\nC.    The route-target export value is used to export routes from VRF RED into VRF RED.\nD.    The route-target export value is used to export routes from VRF BLUE into VRF BLUE.\n\nAnswer: A\n\nWhich two statements about the Cisco IOS XE feature are,\n\nA.    The route-target export value is used to export routes from VRF RED into VRF BLUE.\nB.    The route-target export value is used to export routes from VRF BLUE into VRF RED.\nC.    The route-target export value is used to export routes from VRF RED into VRF RED.\nD.    The route-target export value is used to export routes from VRF BLUE into VRF BLUE.\n\nAnswer: A\n\nWhich two statements about the Cisco IOS XR software are,,,,,,,,,,
review-034,cisco-routing-04,domain,routing_ospf_bgp,eval,What is the purpose of an ICMP Redirect message in IP forwarding?,"[""shorter path"", ""host sends traffic directly to the next gateway""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-dc-pdfs/19_icmp_redirect_messages.pdf,2,"he route to the datagram Internet destination network, X If G2 and the host identified by the Internet source address of the datagram are on the same network, a redirect message is sent to the host. The redirect message advises the host to send its traffic for network X directly to gateway G2 as this is a shorter path to the destination. The gateway forwards the original datagram data to its Internet destination. This scenario is shown in Image 1. Host and two routers, G1 and G2, are connected to shared Ethernet segment and have IP addresses in the same network 10.0.0.0/24 Image1 - ICMP Redirects in Multi-point Ethernet Networks ICMP Redirects in Multi-point Ethernet Networks Host has IP address 10.0.0.100. The Host routing table has a default route entry that point",\n\nA.    To redirect the packet to the next hop\nB.    To redirect the packet to the next hop if the packet is not destined for the local host\nC.    To redirect the packet to the next hop if the packet is destined for the local host\nD.    To redirect the packet to the next hop if the packet is not destined for the local host\n\nAnswer: C\n\nWhich of the following is a valid IPv6 address?\n\nA.    2001:0db8:0000:00,\n\nA.    To redirect the packet to the next hop\nB.    To redirect the packet to the next hop if the packet is not destined for the local host\nC.    To redirect the packet to the next hop if the packet is destined for the local host\nD.    To redirect the packet to the next hop if the packet is not destined for the local host\n\nAnswer: C\n\nWhich of the following is a valid IPv6 address?\n\nA.    2001:0db8:0000:00,,,,,,,,,,
review-035,cisco-routing-05,domain,routing_ospf_bgp,eval,"Which NX-OS interface command disables ICMP Redirects, and how can its status be verified?","[""no ip redirects"", ""show ip interface"", ""redirects disabled""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-dc-pdfs/19_icmp_redirect_messages.pdf,13,no ip redirects Cisco NX-OS interface-level command to disable ICMP Redirects on a Layer 3 interface. To verify that ICMP Redirect functionality is disabled: • Ensure no ip redirects command is added to interface configuration. <#root> Nexus7000# show run interface vlan 10 interface Vlan10 no shutdown no ip redirects ip address 10.0.0.1/24 • Ensure that status of ICMP Redirects on the interface shows disabled. <#root> Nexus7000# show ip interface vlan 10 | include redirects IP icmp redirects: disabled • Ensure that ICMP Redirect ,\n\nA.    ip unnumbered\nB.    no ip redirects\nC.    no ip redirects\nD.    no ip redirects\nE.    no ip redirects\n\nAnswer: B\n\nWhich two statements about the Cisco IOS command ip unnumbered are true? (Choose two.)\n\nA.    It enables the router to use the interface’s IP address as the local IP address.\nB.    It enables the router to use the interface’s IP address as the remote IP address.\nC.,\n\nA.    ip redirects no\nB.    ip redirects no\nC.    ip redirects no\nD.    ip redirects no\n\nAnswer: A\n\nWhich two statements about the Cisco Nexus 9000 Series Switches are true? (Choose two.)\n\nA.    The Nexus 9000 Series Switches support the Cisco NX-OS software.\nB.    The Nexus 9000 Series Switches support the Cisco NX-OS software.\n,,,,,,,,,,
review-036,cisco-datacenter-01,domain,datacenter_vpc_vxlan_nexus,train,What are the packet-processing roles of ingress and egress VTEPs in a VXLAN network?,"[""ingress VTEP encapsulates"", ""egress VTEP decapsulates""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-dc-pdfs/05_nexus9000_nxos_vxlan_10.5x.pdf,529," in a VXLAN header. Spines are transporting hops that connect ingress and egress VTEPs. An egress VTEP is the point where VXLAN encapsulated traffic is decapsulated and egresses the VTEP as classical Ethernet traffic. • Ingress VTEP: Encapsulates original traffic in a VXLAN header. • Spine: Transports traffic between ingress and egress VTEPs. Cisco Nexus 9000 Series NX-OS VXLAN Configuration Guide, Release 10.5(x) 503",\n\nA.    The ingress VTEP is responsible for packet processing and the egress VTEP is responsible for packet processing.\n\nB.    The ingress VTEP is responsible for packet processing and the egress VTEP is responsible for packet forwarding.\n\nC.    The ingress VTEP is responsible for packet forwarding and the egress VTEP is responsible for packet processing.\n\nD.    The ingress VTEP is responsible for packet forwarding and the egress VTEP is responsible for packet processing and forwarding.\n\nAnswer: A\n\nQuestion No:,\n\nA.    The ingress VTEP is responsible for receiving the VXLAN packets and encapsulating them into the VXLAN header.\nB.    The egress VTEP is responsible for receiving the VXLAN packets and encapsulating them into the VXLAN header.\nC.    The ingress VTEP is responsible for receiving the VXLAN packets and encapsulating them into the VXLAN header.\nD.    The egress VTEP is responsible for receiving the VXLAN packets and encapsulating them into the VXLAN header.\n\nAnswer,,,,,,,,,,
review-037,cisco-datacenter-02,domain,datacenter_vpc_vxlan_nexus,train,What should be checked in the Cisco Nexus ISSU Support Matrix before upgrading a vPC pair?,"[""current release"", ""target release"", ""supported upgrade path""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-dc-pdfs/221034-install-upgrade-on-nexus-switches-in-vpc.pdf,3,nd processes IGMP control-plane signaling. • Prevents vPC member ports from transitioning to a shutdown state during a peer-link failure. Upgrade Methodology Step 1. Open Cisco Nexus 9000 and 3000 ISSU Support Matrix a. Select Current release. b. Select Target release.,\n\nA.    The vPC pair must be in the same VLAN.\nB.    The vPC pair must be in the same VLAN.\nC.    The vPC pair must be in the same VLAN.\nD.    The vPC pair must be in the same VLAN.\nE.    The vPC pair must be in the same VLAN.\n\nAnswer: D\n\nWhich two statements about the Cisco Nexus 1000V are true? (Choose two.)\n\nA.    It,\n\nA.    The vPC pair must be in the same VLAN.\nB.    The vPC pair must be in the same VLAN.\nC.    The vPC pair must be in the same VLAN.\nD.    The vPC pair must be in the same VLAN.\nE.    The vPC pair must be in the same VLAN.\n\nAnswer: A\n\nWhich two statements about the Cisco Nexus 9000 Series Fabric Interconnect are true? (Choose two.)\n\nA. ,,,,,,,,,,
review-038,cisco-datacenter-03,domain,datacenter_vpc_vxlan_nexus,eval,"What is the recommended basic test for VXLAN connectivity between two VTEPs, and what alternative uses loopback interfaces?","[""ping between end hosts"", ""loopback interfaces on VTEPs""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-dc-pdfs/11_test_vxlan_vtep_fabric_connectivity.pdf,1," your network is live, ensure that you understand the potential impact of any command. Configure Once VxLAN is set up, users normally want to test if it works as expected. While the recommended way to do this is to do a ping test between two end hosts, which are connected to different VTEPs, it is also possible to test the fabric connectivity using loopback interfaces on the VTEPs. Note: Using Switch Virtual Interface (SVI) as either the source or destination of the ping test is not",\n\nA.    The recommended basic test is to ping the loopback interface of the VTEP.\nB.    The recommended basic test is to ping the VXLAN tunnel endpoint (VTEP) of the VTEP.\nC.    The recommended basic test is to ping the VXLAN tunnel endpoint (VTEP) of the VTEP.\nD.    The recommended basic test is to ping the loopback interface of the VTEP.\n\nAnswer: D\n\nWhich two statements about the VXLAN tunnel endpoint (VTEP) are true? (Choose two,\n\nA.    The recommended basic test is to ping the loopback interface of the VTEP.\nB.    The recommended basic test is to ping the VXLAN interface of the VTEP.\nC.    The recommended basic test is to ping the VXLAN interface of the VTEP.\nD.    The recommended basic test is to ping the loopback interface of the VTEP.\n\nAnswer: D\n\nWhich two statements about the VXLAN tunnel interface are true? (Choose two.)\n\nA.    The VXLAN tunnel interface,,,,,,,,,,
review-039,cisco-datacenter-04,domain,datacenter_vpc_vxlan_nexus,eval,How does the Cisco N9500 chassis preserve switching service when a fabric module fails?,"[""up to six fabric modules"", ""redundancy"", ""graceful degradation""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-dc-pdfs/07_n9500_series_data_sheet.pdf,4,"00 Series Switches are designed with redundant supervisors, system reliability, and scalability controllers, power supplies, and fan trays, which eliminate any single point of failure in the chassis. These switches also support up to 6 fabric modules, which provide redundancy and graceful degradation of switching capacity in the event of fabric module failures. All transceivers are pluggable to support the highest possible Mean Time Between Failure (MTBF) for the switch. Designed for the future The Cisco N9500 Series Switches are designed for future expansion with the capability to support higher speed ports and more bandwidth. Power efficiency The Cisco N9500 Series Switches are the first switch chassis designed without a midplane. The line cards and fabric m",\n\nA.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.\nB.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.\nC.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.\nD.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.\n\nAnswer: A\n\nWhich two statements about the Cisco N9500 chassis are true? (Choose two.)\n\nA. ,\n\nA.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.\nB.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.\nC.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.\nD.    The chassis automatically detects the failure and reconfigures the fabric to use the remaining modules.\n\nAnswer: B\n\nWhich two statements about the Cisco N9500 chassis are true? (Choose two.)\n\nA. ,,,,,,,,,,
review-040,cisco-datacenter-05,domain,datacenter_vpc_vxlan_nexus,eval,Give examples of breakout modes supported on Cisco Nexus switch ports.,"[""4x10G"", ""4x25G"", ""2x50G""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-dc-pdfs/cisco-nexus-9000-series-nx-os-interfaces-configuration-guide-release-106x.pdf,31,"only one of the 10G breakout ports is up. A 10G breakout port's LED blinks when the beacon feature has been configured for it. Breakout port support on Cisco Nexus switches The matrix provides detailed information about supported breakout modes (for example, 4x10G, 4x25G, 2x50G, etc.) for Cisco Nexus switches and line card platforms. For more information, see Cisco Nexus Data Sheets. Table3:BreakoutModesSupportMatrix Switches 4x10G 4x25G 2x50G 2x100G 2x200G 2x400G 4x50G 4x100G 8x100G Nexus 9300-FX3 Yes Yes Yes No No No No No No Platform Switches N9K-C93108TC-FX3 N9K-C93108TC-FX3P N9K-C93180YC-FX3 N9K-C9348GC-FX3 N9K-C9348GC-FX3P N9K-C9364C-H1 Yes Yes Yes No No No No No No N9K-C93400LD-H1 Yes Yes Yes Yes Yes No Yes Yes No N9K-C9332D-H2R Yes Yes Yes Yes Ye","\n\nAnswer: A,D\n\nQuestion No: 10\n\nWhich two statements about the Cisco Nexus 1000V are true? (Choose two.)\n\n  1. It is a virtual switch that runs on a virtual machine.\n\n  2. It is a virtual switch that runs on a physical server.\n\n  3. It is a virtual switch that runs on a virtual machine.\n\n  4. It is a virtual switch that runs on a physical server.\n\nAnswer: A,D\n\nQuestion No: 11\n\nWhich two statements about the Cisco Nexus 10","\n\nAnswer: A, D\n\nQuestion No: 10\n\nWhich two statements about the Cisco Nexus 9000 Series Switches are true? (Choose two.)\n\n  1. The Cisco Nexus 9000 Series Switches support the Cisco Nexus 9000 Series Fabric Extender.\n\n  2. The Cisco Nexus 9000 Series Switches support the Cisco Nexus 9000 Series Fabric Extender.\n\n  3. The Cisco Nexus 9000 Series Switches support the Cisco Nexus ",,,,,,,,,,
review-041,cisco-security-01,domain,security_aaa_ise,train,"In Cisco ISE, where should an administrator find and change an authorization rule that uses an unlicensed feature?","[""Policy"", ""Policy Sets"", ""authorization rule""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-enterprise-pdfs/ise-admin-3-1.pdf,198," the license has exceeded a set limit. Thus, you can configure the features even if you do not currently have a valid license for them. Solution In the Cisco ISE administration portal, click the Menu icon ( ) and choose Policy > Policy Sets, identify the authorization rule that is using the feature for which you do not have a registered license and reconfigure that rule. Smart Licensing for Air-Gapped Networks An air-gapped network does not allow any communication between a secured network and an external network. Cisco ISE Smart Licensing requires Cisco ISE to communicate with the CSSM. If your network is air-gapped, Cisco ISE is unable to report license usage to CSSM, and this lack of reporting results in the loss of administrative access to Cisco ",\n\nA.    In the ISE console\nB.    In the ISE policy\nC.    In the ISE policy template\nD.    In the ISE policy database\n\nAnswer: D\n\nWhich two statements about the Cisco ISE policy database are true? (Choose two.)\n\nA.    The policy database is stored in the ISE console.\nB.    The policy database is stored in the ISE policy.\nC.    The policy database is stored in the ISE policy template.\nD. ,\n\nA.    In the ISE console\nB.    In the ISE policy\nC.    In the ISE policy template\nD.    In the ISE policy database\n\nAnswer: D\n\nWhich two statements about the Cisco ISE policy database are true? (Choose two.)\n\nA.    The policy database is stored in the ISE console.\nB.    The policy database is stored in the ISE policy.\nC.    The policy database is stored in the ISE policy template.\nD. ,,,,,,,,,,
review-042,cisco-security-02,domain,security_aaa_ise,train,How does IP Source Guard use DHCP snooping information to block source-address spoofing?,"[""binding table"", ""source IP lookup"", ""untrusted interface"", ""blocks unmatched traffic""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-enterprise-pdfs/catalyst9300-security-17-13.pdf,491,"n DHCP snooping is enabled on an untrusted interface. After IPSG is enabled on an interface, the switch blocks all IP traffic received on the interface except for DHCP packets allowed by DHCP snooping. The switch uses a source IP lookup table in hardware to bind IP addresses to ports. For IP and MAC filtering, a combination of source IP and source MAC lookups are used. IP traffic with a source IP address in the binding table is allowed, all other traffic is denied. The IP source binding table has bindings that are learned by DHCP snooping or are manually configured (static IP source bindings). An entry in this table has an IP address, its associated MAC address, and its associated VLAN number. The switch uses the IP source binding table only when IP so",\n\nIP Source Guard uses DHCP snooping information to block source-address spoofing.\n\nWhat is the difference between DHCP snooping and DHCP relay?\n\nDHCP snooping is a feature that is used to protect the DHCP server from spoofing attacks. DHCP relay is a feature that is used to forward DHCP requests from one network to another.\n\nWhat is the difference between DHCP snooping and DHCP relay?\n\nDHCP snooping is a feature that is used to protect the DHCP server from spoofing attacks. DHCP relay is a feature that is used to forward DHCP requests,\n\nIP Source Guard uses DHCP snooping information to block source-address spoofing. DHCP snooping information is used to block source-address spoofing by:\n\n  • Preventing a source-address spoofer from sending packets with a source-address that is not in the DHCP snooping table.\n  • Preventing a source-address spoofer from sending packets with a source-address that is in the DHCP snooping table but is not in the DHCP snooping table for the DHCP snooping domain.\n\nWhat is the difference between DHCP snooping and DHCP snooping domain,,,,,,,,,,
review-043,cisco-security-03,domain,security_aaa_ise,train,Which settings can be changed from the Cisco FDM identity policy page?,"[""identity policy"", ""default action"", ""rules"", ""order""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-enterprise-pdfs/secure-firewall-fdm-7-4.pdf,501,"ply. You can do the following from this page: • To enable or disable the identity policy, click the Identity Policy toggle. • To change the identity policy settings, click the Identity Policy Configuration button ( ). • To change the Default Action, click the action and select the desired action. See Configure the Identity Policy Default Action, on page 477. • To move a rule, edit it and select the new location from the Order drop-down list. • To configure rules: • To create a new rule, click the + button. • To edit an existing rule, click the edit icon ( ) for the rule (in the Actions column). You can also selectively edit a rule property by clicking on the property in the table. • To delete a rule you no longer need, click the delete icon ( ) for the rule ",\n\nA.    The number of users that can be added to the policy\nB.    The number of users that can be removed from the policy\nC.    The number of users that can be added to the policy\nD.    The number of users that can be removed from the policy\n\nAnswer: C\n\nWhich two statements about the Cisco FDM identity policy are true? (Choose two.)\n\nA.    The Cisco FDM identity policy can be used to create a group of users that can be added to a Cisco FDM group.\nB,\n\nA.    The number of users that can be added to the policy\nB.    The number of users that can be removed from the policy\nC.    The number of users that can be added to the policy\nD.    The number of users that can be removed from the policy\n\nAnswer: C\n\nWhich two statements about the Cisco FDM identity policy are true? (Choose two.)\n\nA.    The Cisco FDM identity policy is a Cisco FDM policy that is used to manage the Cisco FDM identity.\nB.  ,,,,,,,,,,
review-044,cisco-security-04,domain,security_aaa_ise,train,What happens when both Trusted Network Policy and Untrusted Network Policy are set to Do Nothing for Cisco Secure Client?,"[""disables Always-On VPN"", ""disables Trusted Network Detection""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-enterprise-pdfs/secure-client-admin-5-1.pdf,89,"itor Cisco Secure Client Profile Editor, Preferences (Part 2) • Connect (Default)—Initiates the VPN connection upon the detection of an untrusted network. • Do Nothing—Takes no action in the trusted network. This option disables Always-On VPN. Setting both the Trusted Network Policy and Untrusted Network Policy to Do Nothing disables Trusted Network Detection. • Trusted DNS Domains—DNS suffixes (a string separated by commas) that a network interface may have when the client is in the trusted network. For example: *.cisco.com. Wildcards (*) are supported for DNS suffixes. Note If you are using Network Visibility Module, Trusted DNS Domains and Servers are not supported because the the Network Visibility Module uses an administrator-defined trusted serve","\n\nWhen both Trusted Network Policy and Untrusted Network Policy are set to Do Nothing, the client is allowed to connect to the untrusted network.\n\nWhat happens when both Trusted Network Policy and Untrusted Network Policy are set to Block for Cisco Secure Client?\n\nWhen both Trusted Network Policy and Untrusted Network Policy are set to Block, the client is not allowed to connect to the untrusted network.\n\nWhat happens when both Trusted Network Policy and Untrusted Network Policy are set to Prohibit for Cisco Secure Client?\n\nWhen both Trusted Network Policy and Untrusted Network Policy are set to",\n\nThe Cisco Secure Client will not be able to connect to the Internet.\n\nWhat happens when both Trusted Network Policy and Untrusted Network Policy are set to Allow for Cisco Secure Client?\n\nThe Cisco Secure Client will be able to connect to the Internet.\n\nWhat happens when both Trusted Network Policy and Untrusted Network Policy are set to Deny for Cisco Secure Client?\n\nThe Cisco Secure Client will not be able to connect to the Internet.\n\nWhat happens when both Trusted Network Policy and Untrusted Network Policy are set to Deny for Cisco Secure Client?\n\nThe Cisco Secure Client will,,,,,,,,,,
review-045,cisco-security-05,domain,security_aaa_ise,train,"In NX-OS SSH configuration, what do the kexalgos and macs options control?","[""key exchange"", ""per-connection keys"", ""message authentication codes"", ""detect modification""]","Use the expected concepts and source evidence; answer factually, directly, and coherently.",cisco-dc-pdfs/222090-configure-ciphers-macs-kex-algorithms.pdf,15,switch(config)# ssh ? cipher-mode Set Cipher-mode for ssh ciphers Ciphers to encrypt the connection <<<<<<<<< idle-timeout SSH Client session idle timeout value kexalgos Key exchange methods that are used to generate per-connection keys <<<<<<<<< key Generate SSH Key keytypes Public key algorithms that the server can use to authenticate itself to the client login-attempts Set maximum login attempts from ssh login-gracetime Set login gracetime for ssh connection macs Message authentication codes used to detect traffic modification <<<<<<<<< port Set port number for ssh rekey Renegotiate ssh key switch(config)# ssh ciphers ? WORD Algorithm name to be configured (Max Size 128) aes256-gcm <Deprecated> ena,\n\nA.    The key exchange algorithm and the MAC algorithm\nB.    The key exchange algorithm and the MAC algorithm\nC.    The key exchange algorithm and the MAC algorithm\nD.    The key exchange algorithm and the MAC algorithm\n\nAnswer: A\n\nWhich two statements about the Cisco Nexus 9000 Series Switches are true? (Choose two.)\n\nA.    The Nexus 9000 Series Switches support the Cisco NX-OS software.\nB.    The Nexus 9,\n\nThe kexalgos option controls the algorithm used for key exchange. The macs option controls the algorithm used for message authentication.\n\nWhat is the difference between the ip access-group command and the ip access-list command?\n\nThe ip access-group command is used to specify a group of interfaces that are to be included in a security policy. The ip access-list command is used to specify a list of IP addresses that are to be included in a security policy.\n\nWhat is the difference between the ip access-group command and the ip access-list command?\n\nThe ip access-group,,,,,,,,,,
